ConditionName,TrialNumber,FittsID,CompletionTime,Errors
Gravity-Medium,36,0.5499738,1708,0
Gravity-Medium,37,0.20162292,806,0
Gravity-Medium,38,0.43546554,1602,0
Gravity-Medium,39,0.16248061,893,0
Gravity-Medium,40,0.44189036,1106,0
Gravity-Medium,41,0.16003081,659,0
Gravity-Medium,42,0.4512779,1518,0
Gravity-Medium,43,0.16134797,1145,0
Gravity-Medium,44,0.5068557,878,0
Gravity-Medium,45,0.2698917,1012,0
Gravity-Medium,46,0.14747278,839,0
Gravity-Medium,47,0.3767984,1073,0
Gravity-Medium,48,0.4186166,1026,0
Gravity-Medium,49,0.39020887,1412,0
Gravity-Medium,50,0.24358602,1082,0
Gravity-Medium,51,0.4141039,896,0
Gravity-Medium,52,0.5100062,947,0
Gravity-Medium,53,0.29363218,938,0
Gravity-Medium,54,0.29363218,485,0
Gravity-Medium,55,0.34633437,1473,0

Gravity-High,1,0.4562456,653,0
Gravity-High,2,0.6814343,687,1
Gravity-High,3,0.11364807,1019,0
Gravity-High,4,0.36509562,1063,0
Gravity-High,5,0.30593425,1071,0
Gravity-High,6,0.53159255,1431,0
Gravity-High,7,0.4918685,2000,0
Gravity-High,8,0.48941043,1969,0
Gravity-High,9,0.25422677,1300,0
Gravity-High,10,0.5872107,2381,1
Gravity-High,11,0.5884335,869,1
Gravity-High,12,0.7023964,1156,1
Gravity-High,13,0.4612039,1366,0
Gravity-High,14,0.41313875,2466,0
Gravity-High,15,0.400804,1123,0
Gravity-High,16,0.5144703,1135,0
Gravity-High,17,0.11074073,2852,0
Gravity-High,18,0.393682,1289,0
Gravity-High,19,0.44055453,1040,0
Gravity-High,20,0.43347532,1962,0
Gravity-High,21,0.3181547,1244,0
Gravity-High,22,0.12743251,924,0
Gravity-High,23,0.34075987,1486,0
Gravity-High,24,0.2567431,1163,0
Gravity-High,25,0.16231218,877,0
Gravity-High,26,0.43620992,2205,0
Gravity-High,27,0.49056667,1226,0
Gravity-High,28,0.26037803,795,0
Gravity-High,29,0.20357952,1962,0
Gravity-High,30,0.52070296,1848,0
Gravity-High,31,0.4529999,2001,0
Gravity-High,32,0.44546354,972,0
Gravity-High,33,0.392049,1084,0
Gravity-High,34,0.41963646,997,0
Gravity-High,35,0.32646582,944,0
Gravity-High,36,0.9272692,8249,1
Gravity-High,37,0.27867517,978,0
Gravity-High,38,0.46212056,1637,0
Gravity-High,39,0.4323524,1450,0
Gravity-High,40,0.4832829,1401,0
Gravity-High,41,0.29708546,2218,0
Gravity-High,42,0.36655328,1364,0
Gravity-High,43,0.74176615,1133,1
Gravity-High,44,0.3857025,704,0
Gravity-High,45,0.30590546,949,0
Gravity-High,46,0.34977648,1728,0
Gravity-High,47,0.45436516,3778,0
Gravity-High,48,0.45362517,2246,0
Gravity-High,49,0.10364559,1170,0
Gravity-High,50,0.4162874,766,0
Gravity-High,51,0.21208814,1821,0
Gravity-High,52,0.52778476,2969,0
Gravity-High,53,0.5925487,2006,1
Gravity-High,54,0.34082237,1014,0
Gravity-High,55,0.25912303,1442,0

Gravity-High,1,0.3600101,1223,0
Gravity-High,2,0.3624371,942,0
Gravity-High,3,0.50171196,709,0
Gravity-High,4,0.3491323,925,0
Gravity-High,5,0.24035856,1818,0
Gravity-High,6,0.45303923,1713,0
Gravity-High,7,0.5281603,1322,0
Gravity-High,8,0.12961507,1720,0
Gravity-High,9,0.4348074,1299,0
Gravity-High,10,0.5115558,2032,0
Gravity-High,11,0.45153284,1179,0
Gravity-High,12,0.47844377,1704,0
Gravity-High,13,0.5821139,628,0
Gravity-High,14,0.31871367,974,0
Gravity-High,15,0.29479474,826,0
Gravity-High,16,0.5123314,4055,0
Gravity-High,17,0.33196592,1565,0
Gravity-High,18,0.4400662,1813,0
Gravity-High,19,0.2409913,935,0
Gravity-High,20,0.19854516,1035,0
Gravity-High,21,0.46257228,886,0
Gravity-High,22,0.56731945,1237,0
Gravity-High,23,0.55181444,1455,0
Gravity-High,24,0.5365469,1360,0
Gravity-High,25,0.50171196,1107,0
Gravity-High,26,0.5115558,3533,0
Gravity-High,27,0.409479,817,0
Gravity-High,28,0.32452998,1353,0
Gravity-High,29,0.21361212,932,0
Gravity-High,30,0.48409936,989,0
Gravity-High,31,0.50298,1032,0
Gravity-High,32,0.15786299,1226,0
Gravity-High,33,0.47844377,2049,0
Gravity-High,34,0.6005999,1046,1
Gravity-High,35,0.25219995,1068,0
Gravity-High,36,0.2517306,1156,0
Gravity-High,37,0.49366787,1499,0
Gravity-High,38,0.26116666,1744,0
Gravity-High,39,0.5112008,1734,0
Gravity-High,40,0.17730594,1612,0
Gravity-High,41,0.36343312,1441,0
Gravity-High,42,0.41056898,1312,0
Gravity-High,43,0.2559146,1246,0
Gravity-High,44,0.3692917,411,0
Gravity-High,45,0.0396174,1496,0
Gravity-High,46,0.7123509,992,1
Gravity-High,47,0.38755104,1337,0
Gravity-High,48,0.24930128,1515,0
Gravity-High,49,0.1850882,950,0
Gravity-High,50,0.40196356,1523,0
Gravity-High,51,0.34139884,1291,0
Gravity-High,52,0.3709365,1793,0
Gravity-High,53,0.23416063,1495,0
Gravity-High,54,0.32113814,1600,0
Gravity-High,55,0.94095325,9826,1

Gravity-Medium,1,0.23391,1507,0
Gravity-Medium,2,0.54328465,1130,0
Gravity-Medium,3,0.42008552,1734,0
Gravity-Medium,4,0.29874027,748,0
Gravity-Medium,5,0.49733508,1290,0
Gravity-Medium,6,0.36290112,1157,0
Gravity-Medium,7,0.25362015,753,0
Gravity-Medium,8,0.59002775,1062,1
Gravity-Medium,9,0.1344694,937,0
Gravity-Medium,10,0.08683596,1061,0
Gravity-Medium,11,0.74855095,1436,1
Gravity-Medium,12,0.2870209,1264,0
Gravity-Medium,13,0.4632931,799,0
Gravity-Medium,14,0.41398877,1075,0
Gravity-Medium,15,0.5167174,1112,0
Gravity-Medium,16,0.41782278,751,0
Gravity-Medium,17,0.057665568,1061,0
Gravity-Medium,18,0.4327669,902,0
Gravity-Medium,19,0.44528872,979,0
Gravity-Medium,20,0.47180963,885,0
Gravity-Medium,21,0.4884136,1393,0
Gravity-Medium,22,0.29709384,1593,0
Gravity-Medium,23,0.35328335,878,0
Gravity-Medium,24,0.39965814,1509,0
Gravity-Medium,25,0.25245798,1877,0
Gravity-Medium,26,0.6072721,1385,1
Gravity-Medium,27,0.39934325,719,0
Gravity-Medium,28,0.34561816,1202,0
Gravity-Medium,29,0.17476526,971,0
Gravity-Medium,30,0.36097923,1109,0
Gravity-Medium,31,0.15843603,857,0
Gravity-Medium,32,0.29107976,1137,0
Gravity-Medium,33,0.8594942,906,1
Gravity-Medium,34,0.10527264,1106,0
Gravity-Medium,35,0.114671215,731,0
Gravity-Medium,36,0.32073927,942,0
Gravity-Medium,37,0.38216424,1475,0
Gravity-Medium,38,0.4170491,754,0
Gravity-Medium,39,0.2811143,743,0
Gravity-Medium,40,0.4027517,840,0
Gravity-Medium,41,0.3090594,1399,0
Gravity-Medium,42,0.52895254,796,0
Gravity-Medium,43,0.19953488,1576,0
Gravity-Medium,44,0.3121062,1061,0
Gravity-Medium,45,0.2863485,1129,0
Gravity-Medium,46,0.42103392,829,0
Gravity-Medium,47,0.5406514,859,0
Gravity-Medium,48,0.13475876,1084,0
Gravity-Medium,49,0.26050037,806,0
Gravity-Medium,50,0.24886076,890,0
Gravity-Medium,51,0.80652624,1210,1
Gravity-Medium,52,0.43057457,1085,0
Gravity-Medium,53,0.45669508,1073,0
Gravity-Medium,54,0.31653303,1353,0
Gravity-Medium,55,0.3377256,858,0

Gravity-Low,1,0.17734502,767,0
Gravity-Low,2,0.3343644,962,0
Gravity-Low,3,0.19437107,883,0
Gravity-Low,4,0.19236627,746,0
Gravity-Low,5,0.5261663,1179,0
Gravity-Low,6,0.3120754,993,0
Gravity-Low,7,0.4251498,974,0
Gravity-Low,8,0.15920861,1111,0
Gravity-Low,9,0.38251847,2267,0
Gravity-Low,10,0.20360146,1121,0
Gravity-Low,11,0.09878694,823,0
Gravity-Low,12,0.38833532,1307,0
Gravity-Low,13,0.47578093,903,0
Gravity-Low,14,0.14909199,2114,0
Gravity-Low,15,0.17140558,863,0
Gravity-Low,16,0.4619561,1053,0
Gravity-Low,17,0.49532294,783,0
Gravity-Low,18,0.5119535,622,0
Gravity-Low,19,0.37755132,642,0
Gravity-Low,20,0.46908146,772,0
Gravity-Low,21,0.5830552,1113,0
Gravity-Low,22,0.25748122,1062,0
Gravity-Low,23,0.41731045,1170,0
Gravity-Low,24,0.2602837,799,0
Gravity-Low,25,0.20409857,959,0
Gravity-Low,26,0.34201252,833,0
Gravity-Low,27,0.25693268,1190,0
Gravity-Low,28,0.1598792,793,0
Gravity-Low,29,0.42203537,898,0
Gravity-Low,30,0.44317615,1062,0
Gravity-Low,31,0.052151594,720,0
Gravity-Low,32,0.24788637,909,0
Gravity-Low,33,0.16425234,1231,0
Gravity-Low,34,0.37910983,797,0
Gravity-Low,35,0.12775162,756,0
Gravity-Low,36,0.8954613,889,1
Gravity-Low,37,0.34993356,672,0
Gravity-Low,38,0.45300558,1014,0
Gravity-Low,39,0.19213596,1149,0
Gravity-Low,40,0.26957545,1196,0
Gravity-Low,41,0.2553414,1378,0
Gravity-Low,42,0.24941877,1456,0
Gravity-Low,43,0.25727403,1276,0
Gravity-Low,44,0.17416696,1007,0
Gravity-Low,45,0.6436943,907,1
Gravity-Low,46,0.20658799,743,0
Gravity-Low,47,0.3221826,756,0
Gravity-Low,48,0.21016121,1116,0
Gravity-Low,49,0.4019723,870,0
Gravity-Low,50,0.42790845,1036,0
Gravity-Low,51,0.32019085,1150,0
Gravity-Low,52,0.23138468,930,0
Gravity-Low,53,0.28126293,515,0
Gravity-Low,54,1.0175744,1022,1
Gravity-Low,55,0.11914694,1319,0

Gravity-Zero,1,0.34416774,882,0
Gravity-Zero,2,0.5186677,829,0
Gravity-Zero,3,0.23754594,780,0
Gravity-Zero,4,0.2868114,730,0
Gravity-Zero,5,0.1548246,801,0
Gravity-Zero,6,0.24473125,763,0
Gravity-Zero,7,0.41259348,740,0
Gravity-Zero,8,0.46545878,752,0
Gravity-Zero,9,0.47305802,1011,0
Gravity-Zero,10,0.14980339,1001,0
Gravity-Zero,11,0.18206847,1193,0
Gravity-Zero,12,0.3290085,897,0
Gravity-Zero,13,0.2916523,781,0
Gravity-Zero,14,0.37444904,972,0
Gravity-Zero,15,0.124070495,766,0
Gravity-Zero,16,0.20431428,744,0
Gravity-Zero,17,0.253516,1090,0
Gravity-Zero,18,0.33243325,748,0
Gravity-Zero,19,0.5109491,811,0
Gravity-Zero,20,0.42078444,711,0
Gravity-Zero,21,0.5509829,837,0
Gravity-Zero,22,0.06717978,985,0
Gravity-Zero,23,0.30799648,718,0
Gravity-Zero,24,0.404287,834,0
Gravity-Zero,25,0.21614608,760,0
Gravity-Zero,26,0.117108166,740,0
Gravity-Zero,27,0.50845885,790,0
Gravity-Zero,28,0.16741262,989,0
Gravity-Zero,29,0.288213,904,0
Gravity-Zero,30,0.29591534,693,0
Gravity-Zero,31,0.18914364,934,0
Gravity-Zero,32,0.30339348,812,0
Gravity-Zero,33,0.19199489,976,0
Gravity-Zero,34,0.39146167,846,0
Gravity-Zero,35,0.30850208,669,0
Gravity-Zero,36,0.19667265,795,0
Gravity-Zero,37,0.3344352,816,0
Gravity-Zero,38,0.2560203,968,0
Gravity-Zero,39,0.13080165,698,0
Gravity-Zero,40,0.41021296,846,0
Gravity-Zero,41,0.35012934,533,0
Gravity-Zero,42,0.14124261,937,0
Gravity-Zero,43,0.16851023,699,0
Gravity-Zero,44,0.24021077,1139,0
Gravity-Zero,45,0.20392625,843,0
